# Hyperparameter Testing for Instance: pr07
# Format: config_string, best_distance, convergence_generation, execution_time, num_routes, num_used_depots
#
pop=50_elite=0.4_mutant=0.1_gen=200_bias=0.8, 2448.59, 30, 33.461, 6, 6
pop=50_elite=0.4_mutant=0.1_gen=200_bias=0.9, 3064.13, 38, 15.237, 6, 6
pop=50_elite=0.4_mutant=0.1_gen=250_bias=0.7, 3168.05, 8, 7.413, 6, 6
pop=50_elite=0.4_mutant=0.1_gen=250_bias=0.8, 2545.82, 58, 47.471, 6, 6
pop=50_elite=0.4_mutant=0.1_gen=250_bias=0.9, 2472.57, 48, 43.33, 6, 6
pop=50_elite=0.4_mutant=0.2_gen=50_bias=0.7, 3151.68, 1, 8.462, 6, 6
pop=50_elite=0.4_mutant=0.2_gen=50_bias=0.8, 2707.91, 14, 18.083, 6, 6
pop=50_elite=0.4_mutant=0.2_gen=50_bias=0.9, 2515.62, 27, 26.01, 6, 6
pop=50_elite=0.4_mutant=0.2_gen=100_bias=0.7, 3206.64, 14, 10.27, 6, 6
pop=50_elite=0.4_mutant=0.2_gen=100_bias=0.8, 3049.89, 63, 23.964, 6, 6
pop=50_elite=0.4_mutant=0.2_gen=100_bias=0.9, 2414.17, 3, 27.514, 6, 6
pop=50_elite=0.4_mutant=0.2_gen=150_bias=0.7, 2877.6, 5, 12.908, 6, 6
pop=50_elite=0.4_mutant=0.2_gen=150_bias=0.8, 2579.83, 92, 46.615, 6, 6
pop=50_elite=0.4_mutant=0.2_gen=150_bias=0.9, 3059.71, 125, 61.034, 6, 6
pop=50_elite=0.4_mutant=0.2_gen=200_bias=0.7, 3183.39, 6, 6.494, 6, 6
pop=50_elite=0.4_mutant=0.2_gen=200_bias=0.8, 3114.2, 43, 18.304, 6, 6
pop=50_elite=0.4_mutant=0.2_gen=200_bias=0.9, 2601.01, 65, 40.435, 6, 6
pop=50_elite=0.4_mutant=0.2_gen=250_bias=0.7, 3069.41, 15, 8.053, 6, 6
pop=50_elite=0.4_mutant=0.2_gen=250_bias=0.8, 2865.33, 4, 10.59, 6, 6
pop=50_elite=0.4_mutant=0.2_gen=250_bias=0.9, 2950.96, 26, 19.098, 6, 6
pop=50_elite=0.4_mutant=0.3_gen=50_bias=0.7, 3221.95, 13, 8.079, 6, 6
pop=50_elite=0.4_mutant=0.3_gen=50_bias=0.8, 3038.34, 1, 5.861, 6, 6
pop=50_elite=0.4_mutant=0.3_gen=50_bias=0.9, 3058.17, 0, 7.832, 6, 6
pop=50_elite=0.4_mutant=0.3_gen=100_bias=0.7, 3102.53, 9, 9.791, 6, 6
pop=50_elite=0.4_mutant=0.3_gen=100_bias=0.8, 3005.63, 8, 9.753, 6, 6
pop=50_elite=0.4_mutant=0.3_gen=100_bias=0.9, 2682.94, 19, 18.859, 6, 6
pop=50_elite=0.4_mutant=0.3_gen=150_bias=0.7, 2994.85, 17, 10.462, 7, 6
