# Hyperparameter Testing for Instance: p01
# Format: config_string, best_distance, convergence_generation, execution_time, num_routes, num_used_depots
#
pop=50_elite=0.4_mutant=0.1_gen=50_bias=0.8, 1116.02, 0, 2.86, 11, 4
pop=50_elite=0.4_mutant=0.1_gen=50_bias=0.9, 1173.43, 49, 4.841, 11, 4
pop=50_elite=0.4_mutant=0.1_gen=100_bias=0.7, 1102.13, 6, 3.41, 11, 4
pop=50_elite=0.4_mutant=0.1_gen=100_bias=0.8, 1196.38, 15, 2.371, 11, 4
pop=50_elite=0.4_mutant=0.1_gen=100_bias=0.9, 1162.96, 39, 6.327, 11, 4
pop=50_elite=0.4_mutant=0.1_gen=150_bias=0.7, 1297.43, 3, 2.462, 11, 4
pop=50_elite=0.4_mutant=0.1_gen=150_bias=0.8, 1295.55, 33, 3.338, 11, 4
pop=50_elite=0.4_mutant=0.1_gen=150_bias=0.9, 1300.63, 14, 2.738, 11, 4
pop=50_elite=0.4_mutant=0.1_gen=200_bias=0.7, 1367.47, 23, 2.537, 11, 4
pop=50_elite=0.4_mutant=0.1_gen=200_bias=0.8, 1348.66, 105, 5.9, 11, 4
pop=50_elite=0.4_mutant=0.1_gen=200_bias=0.9, 1295.04, 121, 7.697, 11, 4
pop=50_elite=0.4_mutant=0.1_gen=250_bias=0.7, 1219.83, 12, 3.052, 11, 4
pop=50_elite=0.4_mutant=0.1_gen=250_bias=0.8, 1256.79, 14, 2.485, 11, 4
pop=50_elite=0.4_mutant=0.1_gen=250_bias=0.9, 1262.25, 37, 4.411, 11, 4
pop=50_elite=0.4_mutant=0.2_gen=50_bias=0.7, 1361.52, 24, 2.246, 11, 4
pop=50_elite=0.4_mutant=0.2_gen=50_bias=0.8, 1278.03, 19, 2.33, 11, 4
pop=50_elite=0.4_mutant=0.2_gen=50_bias=0.9, 1374.67, 16, 1.84, 11, 4
pop=50_elite=0.4_mutant=0.2_gen=100_bias=0.7, 1360.69, 3, 1.9, 11, 4
pop=50_elite=0.4_mutant=0.2_gen=100_bias=0.8, 1285.88, 25, 2.533, 11, 4
pop=50_elite=0.4_mutant=0.2_gen=100_bias=0.9, 1153.44, 27, 5.094, 11, 4
pop=50_elite=0.4_mutant=0.2_gen=150_bias=0.7, 1375, 0, 1.364, 11, 4
pop=50_elite=0.4_mutant=0.2_gen=150_bias=0.8, 1259.25, 25, 3.623, 11, 4
pop=50_elite=0.4_mutant=0.2_gen=150_bias=0.9, 1318.67, 3, 1.352, 11, 4
pop=50_elite=0.4_mutant=0.2_gen=200_bias=0.7, 1300.43, 10, 1.595, 12, 4
pop=50_elite=0.4_mutant=0.2_gen=200_bias=0.8, 1342.39, 13, 1.951, 11, 4
pop=50_elite=0.4_mutant=0.2_gen=200_bias=0.9, 1243.19, 25, 4.205, 11, 4
pop=50_elite=0.4_mutant=0.2_gen=250_bias=0.7, 1325.82, 3, 1.149, 11, 4
pop=50_elite=0.4_mutant=0.2_gen=250_bias=0.8, 1400.22, 7, 1.564, 11, 4
pop=50_elite=0.4_mutant=0.2_gen=250_bias=0.9, 1209.53, 8, 2.393, 11, 4
pop=50_elite=0.4_mutant=0.3_gen=50_bias=0.7, 1330.64, 21, 2.322, 11, 4
pop=50_elite=0.4_mutant=0.3_gen=50_bias=0.8, 1332.17, 18, 2.655, 11, 4
pop=50_elite=0.4_mutant=0.3_gen=50_bias=0.9, 1373.58, 15, 1.749, 11, 4
pop=50_elite=0.4_mutant=0.3_gen=100_bias=0.7, 1341.74, 10, 1.572, 11, 4
pop=50_elite=0.4_mutant=0.3_gen=100_bias=0.8, 1336.16, 4, 2.155, 11, 4
pop=50_elite=0.4_mutant=0.3_gen=100_bias=0.9, 1347.85, 57, 4.012, 11, 4
pop=50_elite=0.4_mutant=0.3_gen=150_bias=0.7, 1359.04, 7, 1.756, 11, 4
